field_name,dk_column_name,description,dataset,data_source,source_link,year
ptsdf,EJScreen - Hazardous waste proximity - Hazardous waste proximity,hazardous waste proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
pwdis,EJScreen - Wastewater discharge - Wastewater discharge,wastewater discharge,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
qct,HUD - Low Income Housing Tax Credit (LIHTC) program - Qualified Census Tracts,qualified census tract indicator,Low Income Housing Tax Credit (LIHTC) Program - Qualified Census Tracts,U.S. Department of Housing and Urban Development (HUD),,2018
resp,EJScreen - Air toxics respiratory HI - Air toxics respiratory HI,air toxics respiratory hi,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
rsei_air,EJScreen - Toxic Releases to Air - Toxic Releases to Air,toxic releases to air,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
s2503_c01_024e,ACS - Median Monthly Housing Cost (Occupied Housing Units) - Estimate,estimate-occupied housing units-occupied housing units-monthly housing costs-median (dollars),S2503 Financial Characteristics,US Census American Community Survey (5-year estimates),,2022
s2503_c01_024m,ACS - Median Monthly Housing Cost (Occupied Housing Units) - Margin of Error,estimate_margin_of_error-occupied housing units-occupied housing units-monthly housing costs-median (dollars),S2503 Financial Characteristics,US Census American Community Survey (5-year estimates),,2022
s2503_c03_024e,ACS - Median Monthly Housing Cost (Occupied Housing Units) - By ownership status - Owner-occupied Housing Units - Estimate,estimate-owner-occupied housing units-occupied housing units-monthly housing costs-median (dollars),S2503 Financial Characteristics,US Census American Community Survey (5-year estimates),,2022
s2503_c03_024m,ACS - Median Monthly Housing Cost (Occupied Housing Units) - By ownership status - Owner-occupied Housing Units - Margin of Error,estimate_margin_of_error-owner-occupied housing units-occupied housing units-monthly housing costs-median (dollars),S2503 Financial Characteristics,US Census American Community Survey (5-year estimates),,2022
s2503_c05_024e,ACS - Median Monthly Housing Cost (Occupied Housing Units) - By ownership status - Renter-occupied Housing Units - Estimate,estimate-renter-occupied housing units-occupied housing units-monthly housing costs-median (dollars),S2503 Financial Characteristics,US Census American Community Survey (5-year estimates),,2022
s2503_c05_024m,ACS - Median Monthly Housing Cost (Occupied Housing Units) - By ownership status - Renter-occupied Housing Units - Margin of Error,estimate_margin_of_error-renter-occupied housing units-occupied housing units-monthly housing costs-median (dollars),S2503 Financial Characteristics,US Census American Community Survey (5-year estimates),,2022
share_of_properties_at_risk_of_fire_in_30_years,First Street Foundation (2022) - Share of properties at risk of fire in 30 years,share of properties at risk of fire in 30 years,CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2022
share_of_properties_at_risk_of_fire_in_30_years_percentile,First Street Foundation (2022) - Share of properties at risk of fire in 30 years (percentile),share of properties at risk of fire in 30 years (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2022
share_of_properties_at_risk_of_flood_in_30_years,First Street Foundation (2022) - Share of properties at risk of flood in 30 years,share of properties at risk of flood in 30 years,CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2022
share_of_properties_at_risk_of_flood_in_30_years_percentile,First Street Foundation (2022) - Share of properties at risk of flood in 30 years (percentile),share of properties at risk of flood in 30 years (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2022
ust,EJScreen - Underground storage tanks - Underground storage tanks,underground storage tanks,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
