COUNTY,Geography,Occupation,Median Hourly Wage (2023 $),Maximum Affordable Rent (30% of Income),2023 HUD 2BR Fair Market Rent,"% Income Needed for 2 BR, Median Wage Worker",# of Workers in 2022,Annual Wage as a % AMI for a Family of 3,Datasource,Report Name,URL
Lee County,"Cape Coral-Fort Myers, FL MSA",Firefighters,29.9,1555,1451,0.28,1060,0.81,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Food Preparation Workers,15.42,802,1451,0.54,2270,0.42,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA","Hairdressers, Hairstylists, and Cosmetologists",17.75,923,1451,0.47,970,0.48,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",24.39,1268,1451,0.34,1210,0.66,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Heavy and Tractor-Trailer Truck Drivers,23.14,1203,1451,0.36,2450,0.63,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Home Health and Personal Care Aides,15.03,782,1451,0.56,2360,0.41,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA","Hotel, Motel, and Resort Desk Clerks",14.78,768,1451,0.57,750,0.4,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",14.11,734,1451,0.59,3580,0.38,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Landscaping and Groundskeeping Workers,17.09,889,1451,0.49,4930,0.46,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Laundry and Dry-Cleaning Workers,12.52,651,1451,0.67,380,0.34,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Licensed Practical and Licensed Vocational Nurses,25.97,1350,1451,0.32,1130,0.71,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Light Truck Drivers,18.9,983,1451,0.44,2170,0.51,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Maids and Housekeeping Cleaners,14.68,763,1451,0.57,2610,0.4,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Medical Assistants,19.2,998,1451,0.44,2380,0.52,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Mental Health and Substance Abuse Social Workers,23.74,1234,1451,0.35,160,0.64,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA","Middle School Teachers, Except Special and Career/Technical Education",34.64,1801,1451,0.24,1060,0.94,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Nursing Assistants,17.8,926,1451,0.47,2650,0.48,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA","Office Clerks, General",18.88,982,1451,0.44,6300,0.51,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA","Painters, Construction and Maintenance",19.09,993,1451,0.44,1320,0.52,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Paralegals and Legal Assistants,25.89,1346,1451,0.32,**,0.7,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Paramedics,23.33,1213,1451,0.36,220,0.63,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Pharmacy Technicians,18.93,985,1451,0.44,1060,0.51,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA","Plumbers, Pipefitters, and Steamfitters",24.86,1293,1451,0.34,1520,0.67,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Police and Sheriff's Patrol Officers,30.26,1574,1451,0.28,790,0.82,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA","Preschool Teachers, Except Special Education",14.65,762,1451,0.57,630,0.4,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Receptionists and Information Clerks,15.99,832,1451,0.52,2400,0.43,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Registered Nurses,39.62,2060,1451,0.21,6030,1.08,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Retail Salespersons,14.85,772,1451,0.56,11330,0.4,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Roofers,23.09,1201,1451,0.36,1900,0.63,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
